AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
BONDVILLE
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Daily Averages,Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov 
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],Asymmetry_Factor-Fine[440nm],Asymmetry_Factor-Fine[675nm],Asymmetry_Factor-Fine[870nm],Asymmetry_Factor-Fine[1020nm],Asymmetry_Factor-Coarse[440nm],Asymmetry_Factor-Coarse[675nm],Asymmetry_Factor-Coarse[870nm],Asymmetry_Factor-Coarse[1020nm],Sphericity_Factor(%),N[Asymmetry_Factor-Total[440nm]],N[Asymmetry_Factor-Total[675nm]],N[Asymmetry_Factor-Total[870nm]],N[Asymmetry_Factor-Total[1020nm]],N[Asymmetry_Factor-Fine[440nm]],N[Asymmetry_Factor-Fine[675nm]],N[Asymmetry_Factor-Fine[870nm]],N[Asymmetry_Factor-Fine[1020nm]],N[Asymmetry_Factor-Coarse[440nm]],N[Asymmetry_Factor-Coarse[675nm]],N[Asymmetry_Factor-Coarse[870nm]],N[Asymmetry_Factor-Coarse[1020nm]],N[Sphericity_Factor(%)],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type
BONDVILLE,30:03:2023,12:00:00,89,89.000000,0.671764,0.592564,0.564426,0.560060,0.659936,0.565726,0.516479,0.488308,0.936314,0.826308,0.787027,0.775151,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:04:2023,12:00:00,92,92.000000,0.689229,0.669116,0.677530,0.687540,0.622755,0.571380,0.535567,0.508075,0.882042,0.775257,0.766172,0.766862,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:04:2023,12:00:00,93,93.000000,0.663833,0.614125,0.615693,0.621968,0.634082,0.548233,0.496873,0.459931,0.797908,0.737601,0.728267,0.724251,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:04:2023,12:00:00,98,98.000000,0.651283,0.575082,0.558209,0.566643,0.631127,0.525770,0.467914,0.434862,0.895611,0.797783,0.767755,0.759117,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:04:2023,12:00:00,101,101.000000,0.655444,0.628756,0.637352,0.653421,0.604551,0.528671,0.483334,0.454014,0.871909,0.781553,0.765149,0.762364,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:04:2023,12:00:00,103,103.000000,0.638467,0.593506,0.601413,0.616529,0.598784,0.521836,0.496857,0.486352,0.900430,0.788852,0.759192,0.749518,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:04:2023,12:00:00,105,105.000000,0.666408,0.620528,0.617715,0.629355,0.623251,0.529622,0.468880,0.432133,0.945527,0.825344,0.797551,0.785954,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:04:2023,12:00:00,107,107.000000,0.702641,0.680776,0.689066,0.698596,0.649772,0.591481,0.547019,0.513627,0.845354,0.767936,0.767721,0.769959,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:04:2023,12:00:00,108,108.000000,0.680543,0.634016,0.629132,0.633382,0.647799,0.560662,0.498079,0.455670,0.847285,0.760010,0.750374,0.745764,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:04:2023,12:00:00,114,114.000000,0.672072,0.633608,0.627971,0.636709,0.653499,0.581210,0.523996,0.483287,0.793332,0.750020,0.747378,0.751815,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:04:2023,12:00:00,116,116.000000,0.665566,0.614440,0.604988,0.610714,0.649186,0.563606,0.501392,0.458155,0.782504,0.741444,0.737464,0.738545,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:05:2023,12:00:00,123,123.000000,0.667609,0.628247,0.635061,0.640446,0.633052,0.571451,0.543084,0.519880,0.893565,0.791104,0.781603,0.775800,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:05:2023,12:00:00,124,124.000000,0.688901,0.655921,0.663735,0.672265,0.614287,0.532605,0.483115,0.451172,0.950454,0.802182,0.785464,0.776896,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:05:2023,12:00:00,125,125.000000,0.688507,0.655880,0.664772,0.675488,0.609058,0.528970,0.483497,0.453990,0.900369,0.776962,0.763388,0.759559,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:05:2023,12:00:00,129,129.000000,0.682802,0.667769,0.673363,0.683684,0.655525,0.594192,0.537006,0.494544,0.787113,0.761931,0.765153,0.768102,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:05:2023,12:00:00,130,130.000000,0.669355,0.676519,0.697378,0.710573,0.598602,0.574445,0.552981,0.535349,0.812072,0.758136,0.770399,0.774289,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:05:2023,12:00:00,137,137.000000,0.693406,0.626356,0.573491,0.540833,0.685641,0.611810,0.544499,0.492229,1.030658,0.884263,0.832084,0.809059,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:05:2023,12:00:00,138,138.000000,0.709665,0.626659,0.571177,0.538045,0.702821,0.614054,0.547444,0.499389,0.997185,0.853523,0.800247,0.777152,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:05:2023,12:00:00,140,140.000000,0.677610,0.610443,0.552985,0.516793,0.673195,0.602053,0.536981,0.489590,0.986287,0.853004,0.795481,0.774552,-999.000000,8,8,8,8,8,8,8,8,8,8,8,8,0,40.053333,-88.371944,212.000000,lev20,Almucantar
