AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
BONDVILLE,31:05:2023,12:00:00,151,0.030619,0.054023,0.068414,-999.,-999.,0.101053,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.170263,-999.,-999.,0.205840,-999.,-999.,0.265294,0.300035,3.180612,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.634538,1.616981,1.680405,1.643268,1.471781,-999.,43,43,43,0,0,43,0,0,0,0,0,0,0,0,43,0,0,43,0,0,43,43,43,0,0,0,0,0,0,0,43,43,43,43,43,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,01:06:2023,12:00:00,152,0.041539,0.082003,0.107721,-999.,-999.,0.168719,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.290012,-999.,-999.,0.353850,-999.,-999.,0.445784,0.501510,3.330588,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.752349,1.564279,1.746028,1.778948,1.372836,-999.,50,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,02:06:2023,12:00:00,153,0.034803,0.061601,0.077314,-999.,-999.,0.111641,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.178477,-999.,-999.,0.209118,-999.,-999.,0.264269,0.288750,1.819954,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.475491,1.440143,1.483820,1.506174,1.279797,-999.,144,145,145,0,0,145,0,0,0,0,0,0,0,0,145,0,0,145,0,0,145,145,145,0,0,0,0,0,0,0,145,145,145,145,145,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,03:06:2023,12:00:00,154,0.050149,0.094521,0.122338,-999.,-999.,0.184652,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.298963,-999.,-999.,0.351457,-999.,-999.,0.437147,0.477937,1.863143,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.563981,1.388843,1.527145,1.609846,1.211261,-999.,60,60,60,0,0,60,0,0,0,0,0,0,0,0,60,0,0,60,0,0,60,60,60,0,0,0,0,0,0,0,60,60,60,60,60,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,04:06:2023,12:00:00,155,0.145806,0.306674,0.413691,-999.,-999.,0.655715,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.929431,-999.,-999.,1.036802,-999.,-999.,1.115318,1.148880,1.455280,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.586507,1.066665,1.426031,1.634760,0.817016,-999.,49,49,49,0,0,49,0,0,0,0,0,0,0,0,42,0,0,40,0,0,37,34,49,0,0,0,0,0,0,0,49,40,42,49,37,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,05:06:2023,12:00:00,156,0.070982,0.133702,0.174719,-999.,-999.,0.270340,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.425292,-999.,-999.,0.492198,-999.,-999.,0.560278,0.582546,1.322776,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.573889,1.036178,1.460987,1.649487,0.735768,-999.,35,35,35,0,0,35,0,0,0,0,0,0,0,0,35,0,0,35,0,0,35,31,35,0,0,0,0,0,0,0,35,35,35,35,35,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,06:06:2023,12:00:00,157,0.114507,0.223730,0.298388,-999.,-999.,0.462838,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.714610,-999.,-999.,0.818118,-999.,-999.,0.920213,0.959265,1.983991,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.494893,0.917865,1.359716,1.579025,0.610777,-999.,32,32,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32,31,32,0,0,0,0,0,0,0,32,32,32,32,32,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,07:06:2023,12:00:00,158,0.054382,0.145802,0.202997,-999.,-999.,0.330856,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.537517,-999.,-999.,0.621599,-999.,-999.,0.704046,0.730250,1.314970,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.663130,1.104479,1.521501,1.752179,0.830233,-999.,70,71,71,0,0,71,0,0,0,0,0,0,0,0,71,0,0,70,0,0,66,62,71,0,0,0,0,0,0,0,71,70,71,71,66,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,08:06:2023,12:00:00,159,0.040239,0.089439,0.119117,-999.,-999.,0.186782,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.305758,-999.,-999.,0.362624,-999.,-999.,0.433673,0.470154,1.024618,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.644154,1.270614,1.571118,1.698763,1.019376,-999.,124,124,124,0,0,124,0,0,0,0,0,0,0,0,124,0,0,124,0,0,124,124,124,0,0,0,0,0,0,0,124,124,124,124,124,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,09:06:2023,12:00:00,160,0.022819,0.050576,0.065570,-999.,-999.,0.096503,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.150943,-999.,-999.,0.176052,-999.,-999.,0.208074,0.219528,1.045860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.475102,1.161458,1.430583,1.517062,0.857372,-999.,90,90,90,0,0,90,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,90,90,0,0,0,0,0,0,0,90,90,90,90,90,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
