AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
BONDVILLE
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Daily Averages,Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov 
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],N[Single_Scattering_Albedo[440nm]],N[Single_Scattering_Albedo[675nm]],N[Single_Scattering_Albedo[870nm]],N[Single_Scattering_Albedo[1020nm]],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type
BONDVILLE,30:03:2023,12:00:00,89,89.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:04:2023,12:00:00,92,92.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:04:2023,12:00:00,93,93.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:04:2023,12:00:00,98,98.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:04:2023,12:00:00,101,101.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:04:2023,12:00:00,103,103.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:04:2023,12:00:00,105,105.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:04:2023,12:00:00,107,107.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:04:2023,12:00:00,108,108.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:04:2023,12:00:00,114,114.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:04:2023,12:00:00,116,116.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:05:2023,12:00:00,123,123.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:05:2023,12:00:00,124,124.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
